"Customer ID","Age","Gender","Purchase Amount (USD)","Location","Season","Payment Method","Category","Order Date"
"67f3ace95fbaebd7ac0961f9","N/A","N/A","2.00","cité ghazela","Spring","Cash on Delivery","Vegetables","2025-04-12T22:06:35.972Z"
"67f3ace95fbaebd7ac0961f9","N/A","N/A","2.00","cité ghazela","Spring","Cash on Delivery","Vegetables","2025-04-12T22:07:05.936Z"
"67fae5387b424048cc8b0e86","N/A","N/A","2.00","cité ghazela","Spring","Cash on Delivery","Vegetables","2025-04-12T22:18:05.480Z"
"67f3ace95fbaebd7ac0961f9","N/A","N/A","8.00","cité ghazela","Spring","Cash on Delivery","Vegetables","2025-04-13T18:41:11.085Z"
"67f3ace95fbaebd7ac0961f9","N/A","N/A","2.00","cité ghazela","Spring","Cash on Delivery","Vegetables","2025-04-13T20:37:23.879Z"
"67f3ace95fbaebd7ac0961f9","N/A","N/A","2.00","cité ghazela","Spring","Cash on Delivery","Vegetables","2025-04-14T10:51:43.970Z"
